core	from	to	thickness	type	event_id
VILL1	1201	1203	0.3	lahar	
VILL1	1202	1203	0.15	tephra	
VILL1	1206	1208	0.15	tephra	
VILL1	1237	1241	3.8	tephra	
VILL1	1254	1256	0.6	tephra	
VILL1	1264	1267	1.2	tephra	
VILL1	1299	1300	0.4	tephra	
VILL1	1301	1302	0.3	lahar	
VILL1	1318	1319	0.3	tephra	
VILL1	1322	1324	0.9	lahar	
VILL1	1341	1342	0.2	tephra	
VILL1	1342	1343	0.6	lahar	
VILL1	1345	1347	1	tephra	
VILL1	1353	1355	0.8	lahar	
VILL1	1357	1359	0.7	lahar	
VILL3	6.5	8	0.5	lahar	
VILL3	8.5	9.5	0.4	lahar	
VILL3	13	14	0.4	lahar	
VILL3	16	17	0.25	lahar	
VILL3	18	19	0.2	lahar	
VILL3	19	20	0.15	lahar	
VILL3	21	23	0.45	lahar	
VILL3	34	35	0.5	lahar	
VILL3	36	38	0.2	lahar	
VILL3	45	47	0.3	lahar	
VILL3	49	50.5	0.35	lahar	
VILL3	53	54	0.5	lahar	
VILL3	56	57	0.15	tephra	
VILL3			0.3	lahar	
VILL3			0.3	lahar	
VILL3	93	96	0.35	lahar	
VILL3			0.2	lahar	
VILL3	103	105	1	lahar	
VILL3			0.8	lahar	
VILL3	126	128			
VILL3	140	142	1	lahar	
VILL3	145	146	0.6	lahar	
VILL3			0.4	lahar	
VILL3			0.3	lahar	
VILL3	163	165	1.1	lahar	
VILL3	173	175	2	tephra	
VILL3			0.4	lahar	
VILL3			0.5	lahar	
VILL3			0.3	lahar	
VILL3			1.6	lahar	
VILL3			0.5		
VILL3			0.3	lahar	
VILL3			0.3		
VILL3	227	228	0.5	lahar	
VILL3	229	231	1	lahar	
VILL3			1	lahar	
VILL3			0.7	lahar	
VILL3			0.7	lahar	
VILL3	272	273	0.3	lahar	
VILL3	277	278	0.7	lahar	
VILL3			0.7	lahar	
VILL3	318	320	1	lahar	
VILL3	378	379	0.4	lahar	
VILL3	399	400	0.6	lahar	
VILL3	411	412	0.4	lahar	
VILL3	418	419	0.9	lahar	
VILL3	497	498	0.55	lahar	
VILL3	536	539	1	lahar	
VILL3			4.6	lahar-tephra	
VILL3	550	551	0.25	lahar	
VILL3	559	561	4.8	lahar	
VILL3			0.3	lahar	
VILL3	566	567	0.4	tephra	
VILL3	569	570	2.6	lahar	
VILL3			2.5	lahar	
VILL3			0.4	lahar	
VILL3	586	587	0.3	tephra	
VILL3			0.4	lahar	
VILL3			0.3	tephra	
VILL3			0.2		
VILL3			0.4		
VILL3			0.2		
VILL3	612	613	1	lahar	
VILL3			0.2	lahar	
VILL3			0.3	lahar	
VILL3	621	622	0.8	lahar	
VILL3	634	635	0.5	lahar	
VILL3	642	644	0.4	lahar	
VILL3	647	651	3.8	lahar	
VILL3	653	655	3.3	lahar	
VILL3	667	672	1	lahar	
VILL3			4	lahar	
VILL3	922	924	0.7	lahar	
VILL3	962	963	0.3	lahar	
VILL3	965	966	0.4	lahar	
VILL3	977	979	1.2	tephra	
VILL3	1007	1011	2	lahar	
VILL3	1023	1027	3.3	lahar	
VILL3	1027	1031	3.7	lahar	
VILL3	1033	1037	4	lahar	
VILL3	1047	1048	1	lahar	
VILL3	1086	1089	1.7	lahar	
VILL3	1090	1093	1	lahar	
VILL3	1109	1116	6.5	lahar	
VILL4	7	9	0.4	lahar	
VILL4			0.4	lahar	
VILL4	43	44	0.2	lahar	
VILL4	52	53	0.3	lahar	
VILL4	78	82	1.3		
VILL4	105	106	0.25	lahar	
VILL4	133	135	0.5	lahar	
VILL4			0.45	lahar	
VILL4	168	173	1	tephra	
VILL4			0.3	lahar	
VILL4			0.4	lahar	
VILL4	186	188	0.55	tephra	
VILL4			0.5	lahar	
VILL4			0.8	lahar	
VILL4	208	210	0.7	lahar	
VILL4	215	219	2.1	lahar	
VILL4			0.6	lahar	
VILL4	228	229	1	lahar	
VILL4	283	285	1.2	lahar	
VILL4	288	290	0.8	lahar	
VILL4	292	295	1.7	tephra	
VILL4	308	309	0.4	lahar	
VILL4	314	315	0.5	lahar	
VILL4	317	319	2	lahar	
VILL4			0.3	tephra	
VILL4			0.2	lahar	
VILL4	331	332	0.7	tephra	
VILL4			0.4	lahar	
VILL4			0.2	lahar	
VILL4	341	343	1.5	lahar	
VILL4			0.3	lahar	
VILL4	358	359	0.5	lahar	
VILL4			0.4	lahar	
VILL4			0.3	lahar	
VILL4	382	383	0.4	lahar	
VILL4	391	394	3	lahar	
VILL4	399	400	0.4	lahar	
VILL4	406	408	0.6	lahar	
VILL4	410	412	2.3	lahar	
VILL4			0.4	lahar	
VILL4			0.4	lahar	
VILL4			0.4	lahar	
VILL4	425	426	0.9	lahar	
VILL4	426	427	0.2	lahar	
VILL4	432	433	0.5	lahar	
VILL4			0.6	lahar	
VILL4			0.9	lahar	
VILL4			0.4	lahar	
VILL4			0.3	lahar	
VILL4	504	506	0.5	lahar	
VILL4			0.3	lahar	
VILL4	532	533	1	lahar-tephra	
VILL4			0.3	lahar	
VILL4	541	542	1	tephra	
VILL4	556	561	5	lahar	
VILL4	562	564	0.5	lahar	
VILL4	567	570	2.8	lahar	
VILL4	579	580	1	lahar	
VILL4	585	586	1.1	tephra	
VILL4	588	589	0.4	lahar	
VILL4	594	595	0.3	tephra	
VILL4	597	598	0.4	lahar	
VILL4			0.3	tephra	
VILL4			1.4	lahar	
VILL4			0.4	lahar	
VILL4			0.2	lahar	
VILL4	622	623	0.4	lahar	
VILL4			0.2	lahar	
VILL4			0.2	lahar	
VILL4	633	634	0.3	lahar	
VILL4	652	654	0.85	lahar	
VILL4	655	656	1	lahar 	
VILL4	656	658	1.4	lahar	
VILL4	665	669	5.15	lahar	
VILL4	686	690	3.9	lahar	
VILL4	711	713	1.8	lahar	
VILL4	714	723	8.75	lahar	
VILL4	725	726	0.3	tephra	
VILL4	731	732	0.5	lahar	
VILL4	733	734	0.2	lahar	
VILL4	735	736	0.7	lahar	
VILL4	749	750	0.3	lahar	
VILL4	767	773	5.5	lahar	
